Start Date,End Date,State,County,COVID-19 Deaths,Total Deaths
01/01/2020,06/26/2021,MN,Benton County,59,526
01/01/2020,06/26/2021,MN,Big Stone County,,100
01/01/2020,06/26/2021,MN,Blue Earth County,73,960
01/01/2020,06/26/2021,MN,Brown County,35,435
01/01/2020,06/26/2021,MN,Carlton County,38,458
01/01/2020,06/26/2021,MN,Carver County,42,778
01/01/2020,06/26/2021,MN,Cass County,,384
01/01/2020,06/26/2021,MN,Chippewa County,30,214
01/01/2020,06/26/2021,MN,Chisago County,39,672
01/01/2020,06/26/2021,MN,Clay County,62,535
01/01/2020,06/26/2021,MN,Clearwater County,,116
01/01/2020,06/26/2021,MN,Cottonwood County,24,214
01/01/2020,06/26/2021,MN,Crow Wing County,88,986
01/01/2020,06/26/2021,MN,Dakota County,286,3520
01/01/2020,06/26/2021,MN,Dodge County,,160
01/01/2020,06/26/2021,MN,Douglas County,68,651
01/01/2020,06/26/2021,MN,Faribault County,14,233
01/01/2020,06/26/2021,MN,Fillmore County,,286
01/01/2020,06/26/2021,MN,Freeborn County,29,471
01/01/2020,06/26/2021,MN,Goodhue County,71,734
01/01/2020,06/26/2021,MN,Grant County,,69
01/01/2020,06/26/2021,MN,Hennepin County,2202,17619
01/01/2020,06/26/2021,MN,Houston County,10,244
01/01/2020,06/26/2021,MN,Hubbard County,34,298
01/01/2020,06/26/2021,MN,Isanti County,31,424
01/01/2020,06/26/2021,MN,Itasca County,44,694
01/01/2020,06/26/2021,MN,Jackson County,,102
01/01/2020,06/26/2021,MN,Kanabec County,16,247
01/01/2020,06/26/2021,MN,Kandiyohi County,76,604
01/01/2020,06/26/2021,MN,Kittson County,21,84
01/01/2020,06/26/2021,MN,Koochiching County,10,187
01/01/2020,06/26/2021,MN,Lac qui Parle County,18,137
01/01/2020,06/26/2021,MN,Lake County,16,185
01/01/2020,06/26/2021,MN,Le Sueur County,14,263
01/01/2020,06/26/2021,MN,Lincoln County,,118
01/01/2020,06/26/2021,MN,Lyon County,45,332
01/01/2020,06/26/2021,MN,McLeod County,39,547
01/01/2020,06/26/2021,MN,Mahnomen County,,90
01/01/2020,06/26/2021,MN,Marshall County,,79
01/01/2020,06/26/2021,MN,Martin County,23,302
01/01/2020,06/26/2021,MN,Meeker County,33,307
01/01/2020,06/26/2021,MN,Mille Lacs County,41,420
01/01/2020,06/26/2021,MN,Morrison County,45,462
01/01/2020,06/26/2021,MN,Mower County,28,502
01/01/2020,06/26/2021,MN,Murray County,,95
01/01/2020,06/26/2021,MN,Nicollet County,35,294
01/01/2020,06/26/2021,MN,Nobles County,35,248
01/01/2020,06/26/2021,MN,Norman County,,91
01/01/2020,06/26/2021,MN,Olmsted County,222,3203
01/01/2020,06/26/2021,MN,Otter Tail County,54,946
01/01/2020,06/26/2021,MN,Pennington County,14,173
01/01/2020,06/26/2021,MN,Pine County,18,342
01/01/2020,06/26/2021,MN,Pipestone County,17,154
01/01/2020,06/26/2021,MN,Polk County,56,453
01/01/2020,06/26/2021,MN,Pope County,,162
01/01/2020,06/26/2021,MN,Ramsey County,1254,8902
01/01/2020,06/26/2021,MN,Red Lake County,,29
01/01/2020,06/26/2021,MN,Redwood County,23,230
01/01/2020,06/26/2021,MN,Renville County,38,237
01/01/2020,06/26/2021,MN,Rice County,79,766
01/01/2020,06/26/2021,MN,Rock County,12,178
01/01/2020,06/26/2021,MN,Roseau County,15,211
01/01/2020,06/26/2021,MN,St. Louis County,428,4455
01/01/2020,06/26/2021,MN,Scott County,89,1089
01/01/2020,06/26/2021,MN,Sherburne County,58,821
01/01/2020,06/26/2021,MN,Sibley County,,138
01/01/2020,06/26/2021,MN,Stearns County,377,2769
01/01/2020,06/26/2021,MN,Steele County,13,472
01/01/2020,06/26/2021,MN,Stevens County,,108
01/01/2020,06/26/2021,MN,Swift County,16,147
01/01/2020,06/26/2021,MN,Todd County,25,262
01/01/2020,06/26/2021,MN,Wabasha County,,253
01/01/2020,06/26/2021,MN,Wadena County,18,294
01/01/2020,06/26/2021,MN,Waseca County,16,205
01/01/2020,06/26/2021,MN,Washington County,218,2383
01/01/2020,06/26/2021,MN,Watonwan County,,156
01/01/2020,06/26/2021,MN,Wilkin County,,121
01/01/2020,06/26/2021,MN,Winona County,55,555
01/01/2020,06/26/2021,MN,Wright County,91,1077
01/01/2020,06/26/2021,MN,Yellow Medicine County,18,129
01/01/2020,06/26/2021,MO,Adair County,27,359
01/01/2020,06/26/2021,MO,Andrew County,10,187
01/01/2020,06/26/2021,MO,Atchison County,10,123
01/01/2020,06/26/2021,MO,Audrain County,32,411
01/01/2020,06/26/2021,MO,Barry County,26,532
01/01/2020,06/26/2021,MO,Barton County,12,166
01/01/2020,06/26/2021,MO,Bates County,24,265
01/01/2020,06/26/2021,MO,Benton County,20,370
01/01/2020,06/26/2021,MO,Bollinger County,11,160
01/01/2020,06/26/2021,MO,Boone County,378,3579
01/01/2020,06/26/2021,MO,Buchanan County,249,1933
01/01/2020,06/26/2021,MO,Butler County,86,1112
01/01/2020,06/26/2021,MO,Caldwell County,,109
01/01/2020,06/26/2021,MO,Callaway County,19,430
01/01/2020,06/26/2021,MO,Camden County,130,1014
01/01/2020,06/26/2021,MO,Cape Girardeau County,265,2324
01/01/2020,06/26/2021,MO,Carroll County,20,138
01/01/2020,06/26/2021,MO,Carter County,,79
01/01/2020,06/26/2021,MO,Cass County,47,1207
01/01/2020,06/26/2021,MO,Cedar County,13,212
01/01/2020,06/26/2021,MO,Chariton County,16,155
01/01/2020,06/26/2021,MO,Christian County,39,725
01/01/2020,06/26/2021,MO,Clark County,11,82
01/01/2020,06/26/2021,MO,Clay County,494,3919
01/01/2020,06/26/2021,MO,Clinton County,66,480
01/01/2020,06/26/2021,MO,Cole County,267,1563
01/01/2020,06/26/2021,MO,Cooper County,15,202
01/01/2020,06/26/2021,MO,Crawford County,47,451
01/01/2020,06/26/2021,MO,Dade County,18,124
01/01/2020,06/26/2021,MO,Dallas County,23,302
01/01/2020,06/26/2021,MO,Daviess County,,87
01/01/2020,06/26/2021,MO,DeKalb County,,121
01/01/2020,06/26/2021,MO,Dent County,15,283
01/01/2020,06/26/2021,MO,Douglas County,21,198
01/01/2020,06/26/2021,MO,Dunklin County,16,435
01/01/2020,06/26/2021,MO,Franklin County,182,1549
01/01/2020,06/26/2021,MO,Gasconade County,50,321
01/01/2020,06/26/2021,MO,Gentry County,13,113
01/01/2020,06/26/2021,MO,Greene County,1018,7479
01/01/2020,06/26/2021,MO,Grundy County,25,177
01/01/2020,06/26/2021,MO,Harrison County,10,111
01/01/2020,06/26/2021,MO,Henry County,22,355
01/01/2020,06/26/2021,MO,Hickory County,16,172
01/01/2020,06/26/2021,MO,Holt County,,64
01/01/2020,06/26/2021,MO,Howard County,,113
01/01/2020,06/26/2021,MO,Howell County,99,947
01/01/2020,06/26/2021,MO,Iron County,,178
01/01/2020,06/26/2021,MO,Jackson County,1160,12929
01/01/2020,06/26/2021,MO,Jasper County,91,1367
01/01/2020,06/26/2021,MO,Jefferson County,200,2542
01/01/2020,06/26/2021,MO,Johnson County,58,643
01/01/2020,06/26/2021,MO,Laclede County,47,557
01/01/2020,06/26/2021,MO,Lafayette County,34,455
01/01/2020,06/26/2021,MO,Lawrence County,57,635
01/01/2020,06/26/2021,MO,Lewis County,,131
01/01/2020,06/26/2021,MO,Lincoln County,25,503
01/01/2020,06/26/2021,MO,Linn County,15,178
01/01/2020,06/26/2021,MO,Livingston County,42,251
01/01/2020,06/26/2021,MO,McDonald County,,248
01/01/2020,06/26/2021,MO,Macon County,19,311
01/01/2020,06/26/2021,MO,Madison County,15,220
01/01/2020,06/26/2021,MO,Maries County,,105
01/01/2020,06/26/2021,MO,Marion County,79,616
01/01/2020,06/26/2021,MO,Mercer County,,63
01/01/2020,06/26/2021,MO,Miller County,23,342
01/01/2020,06/26/2021,MO,Mississippi County,,188
01/01/2020,06/26/2021,MO,Moniteau County,12,188
01/01/2020,06/26/2021,MO,Monroe County,13,119
01/01/2020,06/26/2021,MO,Montgomery County,12,204
01/01/2020,06/26/2021,MO,Morgan County,19,331
01/01/2020,06/26/2021,MO,New Madrid County,20,312
01/01/2020,06/26/2021,MO,Newton County,408,2578
01/01/2020,06/26/2021,MO,Nodaway County,20,251
01/01/2020,06/26/2021,MO,Osage County,,140
01/01/2020,06/26/2021,MO,Ozark County,13,145
01/01/2020,06/26/2021,MO,Pemiscot County,18,311
01/01/2020,06/26/2021,MO,Perry County,14,272
01/01/2020,06/26/2021,MO,Pettis County,80,749
01/01/2020,06/26/2021,MO,Phelps County,129,928
01/01/2020,06/26/2021,MO,Pike County,,203
01/01/2020,06/26/2021,MO,Platte County,89,1023
01/01/2020,06/26/2021,MO,Polk County,83,609
01/01/2020,06/26/2021,MO,Pulaski County,17,355
01/01/2020,06/26/2021,MO,Putnam County,,85
01/01/2020,06/26/2021,MO,Ralls County,,89
01/01/2020,06/26/2021,MO,Randolph County,38,404
01/01/2020,06/26/2021,MO,Ray County,,315
01/01/2020,06/26/2021,MO,Ripley County,,162
01/01/2020,06/26/2021,MO,St. Charles County,579,5004
01/01/2020,06/26/2021,MO,St. Clair County,11,168
01/01/2020,06/26/2021,MO,Ste. Genevieve County,12,243
01/01/2020,06/26/2021,MO,St. Francois County,70,1198
01/01/2020,06/26/2021,MO,St. Louis County,2643,21108
01/01/2020,06/26/2021,MO,Saline County,26,327
01/01/2020,06/26/2021,MO,Schuyler County,13,56
01/01/2020,06/26/2021,MO,Scotland County,13,91
01/01/2020,06/26/2021,MO,Scott County,89,761
01/01/2020,06/26/2021,MO,Shannon County,,118
01/01/2020,06/26/2021,MO,Shelby County,,94
01/01/2020,06/26/2021,MO,Stoddard County,21,455
01/01/2020,06/26/2021,MO,Stone County,,355
01/01/2020,06/26/2021,MO,Sullivan County,,70
01/01/2020,06/26/2021,MO,Taney County,69,980
01/01/2020,06/26/2021,MO,Texas County,17,464
01/01/2020,06/26/2021,MO,Vernon County,34,304
01/01/2020,06/26/2021,MO,Warren County,13,327
01/01/2020,06/26/2021,MO,Washington County,12,348
01/01/2020,06/26/2021,MO,Wayne County,10,206
01/01/2020,06/26/2021,MO,Webster County,29,400
01/01/2020,06/26/2021,MO,Wright County,12,224
01/01/2020,06/26/2021,MO,St. Louis city,714,7815
01/01/2020,06/26/2021,MS,Adams County,101,626
01/01/2020,06/26/2021,MS,Alcorn County,125,959
01/01/2020,06/26/2021,MS,Amite County,21,191
01/01/2020,06/26/2021,MS,Attala County,32,365
01/01/2020,06/26/2021,MS,Benton County,,93
01/01/2020,06/26/2021,MS,Bolivar County,65,554
01/01/2020,06/26/2021,MS,Calhoun County,23,249
01/01/2020,06/26/2021,MS,Carroll County,,117
01/01/2020,06/26/2021,MS,Chickasaw County,16,202
01/01/2020,06/26/2021,MS,Choctaw County,,120
01/01/2020,06/26/2021,MS,Claiborne County,14,121
01/01/2020,06/26/2021,MS,Clarke County,27,236
01/01/2020,06/26/2021,MS,Clay County,22,281
01/01/2020,06/26/2021,MS,Coahoma County,61,444
01/01/2020,06/26/2021,MS,Copiah County,29,378
01/01/2020,06/26/2021,MS,Covington County,19,284
01/01/2020,06/26/2021,MS,DeSoto County,458,2744
01/01/2020,06/26/2021,MS,Forrest County,443,2543
01/01/2020,06/26/2021,MS,Franklin County,15,146
01/01/2020,06/26/2021,MS,George County,34,364
01/01/2020,06/26/2021,MS,Greene County,,154
01/01/2020,06/26/2021,MS,Grenada County,62,468
01/01/2020,06/26/2021,MS,Hancock County,23,582
01/01/2020,06/26/2021,MS,Harrison County,386,3961
01/01/2020,06/26/2021,MS,Hinds County,1176,7593
01/01/2020,06/26/2021,MS,Holmes County,24,252
01/01/2020,06/26/2021,MS,Humphreys County,,88
01/01/2020,06/26/2021,MS,Itawamba County,15,271
01/01/2020,06/26/2021,MS,Jackson County,284,2468
01/01/2020,06/26/2021,MS,Jasper County,,207
01/01/2020,06/26/2021,MS,Jefferson County,,87
01/01/2020,06/26/2021,MS,Jefferson Davis County,,168
01/01/2020,06/26/2021,MS,Jones County,153,1207
01/01/2020,06/26/2021,MS,Kemper County,11,114
01/01/2020,06/26/2021,MS,Lafayette County,279,1301
01/01/2020,06/26/2021,MS,Lamar County,145,927
01/01/2020,06/26/2021,MS,Lauderdale County,502,2346
01/01/2020,06/26/2021,MS,Lawrence County,11,186
01/01/2020,06/26/2021,MS,Leake County,40,292
01/01/2020,06/26/2021,MS,Lee County,568,3493
01/01/2020,06/26/2021,MS,Leflore County,166,815
01/01/2020,06/26/2021,MS,Lincoln County,101,672
01/01/2020,06/26/2021,MS,Lowndes County,272,1361
01/01/2020,06/26/2021,MS,Madison County,150,1564
01/01/2020,06/26/2021,MS,Marion County,24,378
01/01/2020,06/26/2021,MS,Marshall County,46,495
01/01/2020,06/26/2021,MS,Monroe County,102,616
01/01/2020,06/26/2021,MS,Montgomery County,29,191
01/01/2020,06/26/2021,MS,Neshoba County,54,495
01/01/2020,06/26/2021,MS,Newton County,12,264
01/01/2020,06/26/2021,MS,Noxubee County,11,129
01/01/2020,06/26/2021,MS,Oktibbeha County,97,548
01/01/2020,06/26/2021,MS,Panola County,56,454
01/01/2020,06/26/2021,MS,Pearl River County,60,906
01/01/2020,06/26/2021,MS,Perry County,,178
01/01/2020,06/26/2021,MS,Pike County,115,860
01/01/2020,06/26/2021,MS,Pontotoc County,27,359
01/01/2020,06/26/2021,MS,Prentiss County,39,349
01/01/2020,06/26/2021,MS,Quitman County,,90
01/01/2020,06/26/2021,MS,Rankin County,161,1683
01/01/2020,06/26/2021,MS,Scott County,15,343
01/01/2020,06/26/2021,MS,Sharkey County,11,81
01/01/2020,06/26/2021,MS,Simpson County,67,435
01/01/2020,06/26/2021,MS,Smith County,,188
01/01/2020,06/26/2021,MS,Stone County,,220
01/01/2020,06/26/2021,MS,Sunflower County,67,474
01/01/2020,06/26/2021,MS,Tallahatchie County,13,163
01/01/2020,06/26/2021,MS,Tate County,29,343
01/01/2020,06/26/2021,MS,Tippah County,34,326
01/01/2020,06/26/2021,MS,Tishomingo County,37,384
01/01/2020,06/26/2021,MS,Tunica County,,123
01/01/2020,06/26/2021,MS,Union County,77,403
01/01/2020,06/26/2021,MS,Walthall County,,186
01/01/2020,06/26/2021,MS,Warren County,166,989
01/01/2020,06/26/2021,MS,Washington County,170,1143
01/01/2020,06/26/2021,MS,Wayne County,40,313
01/01/2020,06/26/2021,MS,Webster County,27,232
01/01/2020,06/26/2021,MS,Wilkinson County,10,124
01/01/2020,06/26/2021,MS,Winston County,51,324
01/01/2020,06/26/2021,MS,Yalobusha County,12,203
01/01/2020,06/26/2021,MS,Yazoo County,35,365
01/01/2020,06/26/2021,MT,Beaverhead County,10,158
01/01/2020,06/26/2021,MT,Big Horn County,10,148
01/01/2020,06/26/2021,MT,Blaine County,,79
01/01/2020,06/26/2021,MT,Broadwater County,,63
01/01/2020,06/26/2021,MT,Carbon County,12,132
01/01/2020,06/26/2021,MT,Carter County,,17
01/01/2020,06/26/2021,MT,Cascade County,233,1815
01/01/2020,06/26/2021,MT,Chouteau County,,61
01/01/2020,06/26/2021,MT,Custer County,14,168
01/01/2020,06/26/2021,MT,Daniels County,,29
01/01/2020,06/26/2021,MT,Dawson County,26,158
01/01/2020,06/26/2021,MT,Deer Lodge County,14,193
01/01/2020,06/26/2021,MT,Fallon County,,48
01/01/2020,06/26/2021,MT,Fergus County,24,234
01/01/2020,06/26/2021,MT,Flathead County,133,1839
01/01/2020,06/26/2021,MT,Gallatin County,60,904
01/01/2020,06/26/2021,MT,Glacier County,14,147
01/01/2020,06/26/2021,MT,Golden Valley County,,21
01/01/2020,06/26/2021,MT,Hill County,43,239
01/01/2020,06/26/2021,MT,Jefferson County,,140
01/01/2020,06/26/2021,MT,Lake County,19,386
01/01/2020,06/26/2021,MT,Lewis and Clark County,88,1052
01/01/2020,06/26/2021,MT,Lincoln County,10,334
01/01/2020,06/26/2021,MT,McCone County,,24
01/01/2020,06/26/2021,MT,Madison County,,128
01/01/2020,06/26/2021,MT,Meagher County,,20
01/01/2020,06/26/2021,MT,Missoula County,137,1728
01/01/2020,06/26/2021,MT,Musselshell County,,86
01/01/2020,06/26/2021,MT,Park County,21,258
01/01/2020,06/26/2021,MT,Phillips County,11,57
01/01/2020,06/26/2021,MT,Pondera County,,71
01/01/2020,06/26/2021,MT,Powder River County,,17
01/01/2020,06/26/2021,MT,Powell County,,96
01/01/2020,06/26/2021,MT,Prairie County,,23
01/01/2020,06/26/2021,MT,Ravalli County,42,677
01/01/2020,06/26/2021,MT,Richland County,10,124
01/01/2020,06/26/2021,MT,Roosevelt County,23,171
01/01/2020,06/26/2021,MT,Rosebud County,,89
01/01/2020,06/26/2021,MT,Sanders County,,195
01/01/2020,06/26/2021,MT,Sheridan County,,46
01/01/2020,06/26/2021,MT,Silver Bow County,82,676
01/01/2020,06/26/2021,MT,Stillwater County,,117
01/01/2020,06/26/2021,MT,Sweet Grass County,,58
01/01/2020,06/26/2021,MT,Teton County,,54
01/01/2020,06/26/2021,MT,Toole County,,59
01/01/2020,06/26/2021,MT,Valley County,14,119
01/01/2020,06/26/2021,MT,Wheatland County,,35
01/01/2020,06/26/2021,MT,Wibaux County,,32
01/01/2020,06/26/2021,MT,Yellowstone County,511,3494
01/01/2020,06/26/2021,NC,Alamance County,163,2261
01/01/2020,06/26/2021,NC,Alexander County,26,352
01/01/2020,06/26/2021,NC,Alleghany County,,149
01/01/2020,06/26/2021,NC,Anson County,26,264
01/01/2020,06/26/2021,NC,Ashe County,40,373
01/01/2020,06/26/2021,NC,Avery County,,208
01/01/2020,06/26/2021,NC,Beaufort County,84,610
01/01/2020,06/26/2021,NC,Bertie County,15,223
01/01/2020,06/26/2021,NC,Bladen County,,359
01/01/2020,06/26/2021,NC,Brunswick County,74,1537
01/01/2020,06/26/2021,NC,Buncombe County,514,5028
01/01/2020,06/26/2021,NC,Burke County,168,1306
01/01/2020,06/26/2021,NC,Cabarrus County,336,2558
01/01/2020,06/26/2021,NC,Caldwell County,154,1197
01/01/2020,06/26/2021,NC,Camden County,,59
01/01/2020,06/26/2021,NC,Carteret County,46,1031
01/01/2020,06/26/2021,NC,Caswell County,11,226
01/01/2020,06/26/2021,NC,Catawba County,393,2662
01/01/2020,06/26/2021,NC,Chatham County,70,1033
01/01/2020,06/26/2021,NC,Cherokee County,27,368
01/01/2020,06/26/2021,NC,Chowan County,49,253
01/01/2020,06/26/2021,NC,Clay County,14,131
01/01/2020,06/26/2021,NC,Cleveland County,240,1550
01/01/2020,06/26/2021,NC,Columbus County,59,819
01/01/2020,06/26/2021,NC,Craven County,167,1531
01/01/2020,06/26/2021,NC,Cumberland County,328,3888
01/01/2020,06/26/2021,NC,Currituck County,,203
01/01/2020,06/26/2021,NC,Dare County,,336
01/01/2020,06/26/2021,NC,Davidson County,155,1890
01/01/2020,06/26/2021,NC,Davie County,14,345
01/01/2020,06/26/2021,NC,Duplin County,73,596
01/01/2020,06/26/2021,NC,Durham County,415,4700
01/01/2020,06/26/2021,NC,Edgecombe County,106,740
01/01/2020,06/26/2021,NC,Forsyth County,800,7396
01/01/2020,06/26/2021,NC,Franklin County,21,549
01/01/2020,06/26/2021,NC,Gaston County,384,3248
01/01/2020,06/26/2021,NC,Gates County,,96
01/01/2020,06/26/2021,NC,Graham County,,96
01/01/2020,06/26/2021,NC,Granville County,47,614
01/01/2020,06/26/2021,NC,Greene County,,161
01/01/2020,06/26/2021,NC,Guilford County,924,7605
01/01/2020,06/26/2021,NC,Halifax County,89,746
01/01/2020,06/26/2021,NC,Harnett County,127,1219
01/01/2020,06/26/2021,NC,Haywood County,89,911
01/01/2020,06/26/2021,NC,Henderson County,195,1916
01/01/2020,06/26/2021,NC,Hertford County,77,393
01/01/2020,06/26/2021,NC,Hoke County,30,343
01/01/2020,06/26/2021,NC,Hyde County,,34
01/01/2020,06/26/2021,NC,Iredell County,240,2111
01/01/2020,06/26/2021,NC,Jackson County,44,471
01/01/2020,06/26/2021,NC,Johnston County,142,1885
01/01/2020,06/26/2021,NC,Jones County,,104
01/01/2020,06/26/2021,NC,Lee County,49,713
01/01/2020,06/26/2021,NC,Lenoir County,118,822
01/01/2020,06/26/2021,NC,Lincoln County,92,865
01/01/2020,06/26/2021,NC,McDowell County,39,434
01/01/2020,06/26/2021,NC,Macon County,37,476
01/01/2020,06/26/2021,NC,Madison County,27,217
01/01/2020,06/26/2021,NC,Martin County,14,277
01/01/2020,06/26/2021,NC,Mecklenburg County,1339,10854
01/01/2020,06/26/2021,NC,Mitchell County,31,268
01/01/2020,06/26/2021,NC,Montgomery County,16,268
01/01/2020,06/26/2021,NC,Moore County,340,2053
01/01/2020,06/26/2021,NC,Nash County,184,1368
01/01/2020,06/26/2021,NC,New Hanover County,273,3913
01/01/2020,06/26/2021,NC,Northampton County,12,210
01/01/2020,06/26/2021,NC,Onslow County,100,1243
01/01/2020,06/26/2021,NC,Orange County,263,2014
01/01/2020,06/26/2021,NC,Pamlico County,,137
01/01/2020,06/26/2021,NC,Pasquotank County,122,736
01/01/2020,06/26/2021,NC,Pender County,22,464
01/01/2020,06/26/2021,NC,Perquimans County,,139
01/01/2020,06/26/2021,NC,Person County,41,454
01/01/2020,06/26/2021,NC,Pitt County,349,3354
01/01/2020,06/26/2021,NC,Polk County,15,213
01/01/2020,06/26/2021,NC,Randolph County,119,1611
01/01/2020,06/26/2021,NC,Richmond County,65,627
01/01/2020,06/26/2021,NC,Robeson County,176,1765
01/01/2020,06/26/2021,NC,Rockingham County,103,1407
01/01/2020,06/26/2021,NC,Rowan County,277,2163
01/01/2020,06/26/2021,NC,Rutherford County,136,1037
01/01/2020,06/26/2021,NC,Sampson County,41,570
01/01/2020,06/26/2021,NC,Scotland County,139,741
01/01/2020,06/26/2021,NC,Stanly County,62,739
01/01/2020,06/26/2021,NC,Stokes County,26,501
01/01/2020,06/26/2021,NC,Surry County,138,1283
01/01/2020,06/26/2021,NC,Transylvania County,17,395
01/01/2020,06/26/2021,NC,Union County,201,1832
01/01/2020,06/26/2021,NC,Vance County,97,714
01/01/2020,06/26/2021,NC,Wake County,943,9414
01/01/2020,06/26/2021,NC,Warren County,,214
01/01/2020,06/26/2021,NC,Washington County,16,174
01/01/2020,06/26/2021,NC,Watauga County,51,523
01/01/2020,06/26/2021,NC,Wayne County,234,2047
01/01/2020,06/26/2021,NC,Wilkes County,85,847
01/01/2020,06/26/2021,NC,Wilson County,156,1104
01/01/2020,06/26/2021,NC,Yadkin County,,431
01/01/2020,06/26/2021,NC,Yancey County,19,199
01/01/2020,06/26/2021,ND,Adams County,15,72
01/01/2020,06/26/2021,ND,Barnes County,27,196
01/01/2020,06/26/2021,ND,Benson County,,58
01/01/2020,06/26/2021,ND,Bottineau County,13,61
01/01/2020,06/26/2021,ND,Bowman County,,36
01/01/2020,06/26/2021,ND,Burleigh County,297,1931
01/01/2020,06/26/2021,ND,Cass County,552,3443
01/01/2020,06/26/2021,ND,Cavalier County,,58
01/01/2020,06/26/2021,ND,Dickey County,28,107
01/01/2020,06/26/2021,ND,Dunn County,,41
01/01/2020,06/26/2021,ND,Eddy County,,60
01/01/2020,06/26/2021,ND,Emmons County,,49
01/01/2020,06/26/2021,ND,Foster County,18,64
01/01/2020,06/26/2021,ND,Grand Forks County,133,1067
01/01/2020,06/26/2021,ND,Grant County,10,44
01/01/2020,06/26/2021,ND,Griggs County,,38
01/01/2020,06/26/2021,ND,Hettinger County,,36
01/01/2020,06/26/2021,ND,Kidder County,,11
01/01/2020,06/26/2021,ND,LaMoure County,13,52
01/01/2020,06/26/2021,ND,Logan County,,23
01/01/2020,06/26/2021,ND,McHenry County,17,92
01/01/2020,06/26/2021,ND,McIntosh County,,72
01/01/2020,06/26/2021,ND,McKenzie County,,90
01/01/2020,06/26/2021,ND,McLean County,24,156
01/01/2020,06/26/2021,ND,Mercer County,,76
01/01/2020,06/26/2021,ND,Morton County,45,408
01/01/2020,06/26/2021,ND,Mountrail County,,93
01/01/2020,06/26/2021,ND,Nelson County,16,77
01/01/2020,06/26/2021,ND,Pembina County,10,85
01/01/2020,06/26/2021,ND,Pierce County,27,85
01/01/2020,06/26/2021,ND,Ramsey County,21,181
01/01/2020,06/26/2021,ND,Ransom County,17,114
01/01/2020,06/26/2021,ND,Renville County,10,30
01/01/2020,06/26/2021,ND,Richland County,,134
01/01/2020,06/26/2021,ND,Rolette County,,155
01/01/2020,06/26/2021,ND,Stark County,44,339
01/01/2020,06/26/2021,ND,Stutsman County,68,336
01/01/2020,06/26/2021,ND,Towner County,,44
01/01/2020,06/26/2021,ND,Traill County,14,149
01/01/2020,06/26/2021,ND,Walsh County,17,163
01/01/2020,06/26/2021,ND,Ward County,223,1193
01/01/2020,06/26/2021,ND,Wells County,,74
01/01/2020,06/26/2021,ND,Williams County,20,253
01/01/2020,06/26/2021,NE,Adams County,66,522
01/01/2020,06/26/2021,NE,Antelope County,,92
01/01/2020,06/26/2021,NE,Boone County,,113
01/01/2020,06/26/2021,NE,Box Butte County,11,147
01/01/2020,06/26/2021,NE,Boyd County,,41
01/01/2020,06/26/2021,NE,Brown County,,49
01/01/2020,06/26/2021,NE,Buffalo County,136,895
01/01/2020,06/26/2021,NE,Burt County,,86
01/01/2020,06/26/2021,NE,Butler County,,108
01/01/2020,06/26/2021,NE,Cass County,10,249
01/01/2020,06/26/2021,NE,Cedar County,21,112
01/01/2020,06/26/2021,NE,Chase County,,63
01/01/2020,06/26/2021,NE,Cherry County,,79
01/01/2020,06/26/2021,NE,Cheyenne County,15,138
01/01/2020,06/26/2021,NE,Clay County,10,77
01/01/2020,06/26/2021,NE,Colfax County,,60
01/01/2020,06/26/2021,NE,Cuming County,17,141
01/01/2020,06/26/2021,NE,Custer County,,154
01/01/2020,06/26/2021,NE,Dakota County,21,165
01/01/2020,06/26/2021,NE,Dawes County,20,132
01/01/2020,06/26/2021,NE,Dawson County,33,300
01/01/2020,06/26/2021,NE,Deuel County,,19
01/01/2020,06/26/2021,NE,Dixon County,,64
01/01/2020,06/26/2021,NE,Dodge County,75,638
01/01/2020,06/26/2021,NE,Douglas County,1049,8865
01/01/2020,06/26/2021,NE,Dundy County,,34
01/01/2020,06/26/2021,NE,Fillmore County,12,101
01/01/2020,06/26/2021,NE,Frontier County,,15
01/01/2020,06/26/2021,NE,Furnas County,,79
01/01/2020,06/26/2021,NE,Gage County,22,361
01/01/2020,06/26/2021,NE,Garden County,,45
01/01/2020,06/26/2021,NE,Garfield County,,45
01/01/2020,06/26/2021,NE,Gosper County,,43
01/01/2020,06/26/2021,NE,Greeley County,,30
01/01/2020,06/26/2021,NE,Hall County,138,942
01/01/2020,06/26/2021,NE,Hamilton County,22,128
01/01/2020,06/26/2021,NE,Harlan County,,44
01/01/2020,06/26/2021,NE,Holt County,11,149
01/01/2020,06/26/2021,NE,Howard County,13,105
01/01/2020,06/26/2021,NE,Jefferson County,,147
01/01/2020,06/26/2021,NE,Johnson County,,62
01/01/2020,06/26/2021,NE,Kearney County,,65
01/01/2020,06/26/2021,NE,Keith County,,112
01/01/2020,06/26/2021,NE,Keya Paha County,,
01/01/2020,06/26/2021,NE,Kimball County,,68
01/01/2020,06/26/2021,NE,Knox County,,131
01/01/2020,06/26/2021,NE,Lancaster County,433,4621
01/01/2020,06/26/2021,NE,Lincoln County,95,716
01/01/2020,06/26/2021,NE,Madison County,82,621
01/01/2020,06/26/2021,NE,Merrick County,,94
01/01/2020,06/26/2021,NE,Morrill County,11,102
01/01/2020,06/26/2021,NE,Nance County,,88
01/01/2020,06/26/2021,NE,Nemaha County,17,111
01/01/2020,06/26/2021,NE,Nuckolls County,13,87
01/01/2020,06/26/2021,NE,Otoe County,,209
